IdFiles,ScoringTeam,Score,NoInformation,passes,completePasses,incompletePasses,minutes
101_1,Barcelona,1_0,,159.0,152.0,7.0,14.0
101_2,Barcelona,2_0,,167.0,153.0,14.0,13.0
101_3,Sevilla,2_1,,41.0,36.0,5.0,6.0
101_4,Sevilla,2_2,,302.0,272.0,30.0,46.0
101_5,,NF,NF,76.0,72.0,4.0,9.0
108_1,Barcelona,1_0,,12.0,12.0,0.0,1.0
108_2,Barcelona,2_0,,667.0,611.0,56.0,91.0
108_3,,NF,NF,,,,
115_1,Barcelona,1_0,,222.0,207.0,15.0,17.0
115_2,Barcelona,2_0,,64.0,56.0,8.0,7.0
115_3,,NF,NF,444.0,398.0,46.0,66.0
118_1,Barcelona,1_0,,103.0,98.0,5.0,8.0
118_2,Barcelona,2_0,,119.0,112.0,7.0,16.0
118_3,Barcelona,3_0,,23.0,22.0,1.0,2.0
118_4,Barcelona,4_0,,15.0,13.0,2.0,2.0
118_5,Barcelona,5_0,,112.0,103.0,9.0,9.0
118_6,Barcelona,6_0,,83.0,80.0,3.0,7.0
118_7,,NF,NF,327.0,295.0,32.0,44.0
11_1,Barcelona,1_0,,121.0,110.0,11.0,12.0
11_2,Barcelona,2_0,,116.0,103.0,13.0,23.0
11_3,Atlético Madrid,2_1,,145.0,133.0,12.0,17.0
11_4,Barcelona,3_1,,191.0,173.0,18.0,30.0
11_5,,NF,NF,31.0,27.0,4.0,6.0
122_1,Barcelona,1_0,,364.0,326.0,38.0,42.0
122_2,Barcelona,2_0,,36.0,34.0,2.0,4.0
122_3,Barcelona,3_0,,19.0,19.0,0.0,1.0
122_4,Barcelona,4_0,,47.0,45.0,2.0,6.0
122_5,Barcelona,5_0,,68.0,65.0,3.0,11.0
122_6,Barcelona,6_0,,134.0,124.0,10.0,14.0
122_7,Barcelona,7_0,,23.0,22.0,1.0,3.0
122_8,Barcelona,8_0,,31.0,29.0,2.0,3.0
122_9,,NF,NF,52.0,46.0,6.0,4.0
129_1,Barcelona,1_0,,349.0,301.0,48.0,51.0
129_2,Barcelona,2_0,,192.0,165.0,27.0,33.0
129_3,,NF,NF,54.0,48.0,6.0,6.0
137_1,Barcelona,1_0,,550.0,498.0,52.0,65.0
137_2,,NF,NF,185.0,171.0,14.0,27.0
143_1,Barcelona,1_0,,44.0,42.0,2.0,5.0
143_2,Barcelona,2_0,,618.0,576.0,42.0,54.0
143_3,RC Deportivo La Coruña,2_1,,37.0,35.0,2.0,6.0
143_4,RC Deportivo La Coruña,2_2,,53.0,48.0,5.0,7.0
143_5,,NF,NF,175.0,164.0,11.0,19.0
18_1,Barcelona,1_0,,111.0,97.0,14.0,10.0
18_2,Barcelona,2_0,,236.0,215.0,21.0,22.0
18_3,Barcelona,3_0,,218.0,202.0,16.0,29.0
18_4,Barcelona,4_0,,100.0,85.0,15.0,20.0
18_5,,NF,NF,40.0,35.0,5.0,9.0
236_1,Barcelona,1_0,,423.0,395.0,28.0,40.0
236_2,Barcelona,2_0,,47.0,46.0,1.0,1.0
236_3,Barcelona,3_0,,103.0,93.0,10.0,16.0
236_4,,NF,NF,247.0,234.0,13.0,26.0
243_1,Barcelona,1_0,,673.0,608.0,65.0,82.0
243_2,,NF,NF,82.0,71.0,11.0,10.0
24_1,Elche,0_1,,250.0,233.0,17.0,35.0
24_2,Barcelona,1_1,,172.0,161.0,11.0,17.0
24_3,Barcelona,2_1,,99.0,90.0,9.0,14.0
24_4,Barcelona,3_1,,17.0,17.0,0.0,1.0
24_5,Barcelona,4_1,,149.0,138.0,11.0,16.0
24_6,Barcelona,5_1,,16.0,15.0,1.0,4.0
24_7,,NF,NF,,,,
256_1,Barcelona,1_0,,582.0,512.0,70.0,79.0
256_2,Barcelona,2_0,,30.0,26.0,4.0,4.0
256_3,,NF,NF,67.0,59.0,8.0,7.0
264_1,Barcelona,1_0,,295.0,265.0,30.0,34.0
264_2,Levante UD,1_1,,69.0,61.0,8.0,10.0
264_3,Barcelona,2_1,,134.0,124.0,10.0,12.0
264_4,Barcelona,3_1,,65.0,64.0,1.0,5.0
264_5,Levante UD,3_2,,84.0,76.0,8.0,13.0
264_6,,NF,NF,159.0,151.0,8.0,15.0
267_1,,,NF,595.0,538.0,57.0,92.0
270_1,Granada,0_1,,234.0,199.0,35.0,25.0
270_2,Barcelona,1_1,,143.0,130.0,13.0,16.0
270_3,Barcelona,2_1,,13.0,12.0,1.0,2.0
270_4,Barcelona,3_1,,109.0,103.0,6.0,16.0
270_5,Barcelona,4_1,,18.0,18.0,0.0,4.0
270_6,Granada,4_2,,135.0,123.0,12.0,14.0
270_7,,NF,NF,58.0,54.0,4.0,9.0
277_1,Barcelona,1_0,,211.0,179.0,32.0,35.0
277_2,Barcelona,2_0,,2.0,2.0,0.0,1.0
277_3,,NF,NF,301.0,263.0,38.0,56.0
291_1,Barcelona,1_0,,536.0,483.0,53.0,60.0
291_2,Barcelona,2_0,,115.0,108.0,7.0,12.0
291_3,Barcelona,3_0,,3.0,3.0,0.0,1.0
291_4,,NF,NF,113.0,104.0,9.0,19.0
298_1,Barcelona,1_0,,37.0,35.0,2.0,3.0
298_2,Real Madrid,1_1,,195.0,175.0,20.0,28.0
298_3,Real Madrid,1_2,,116.0,106.0,10.0,16.0
298_4,Real Madrid,1_3,,54.0,45.0,9.0,11.0
298_5,,NF,NF,215.0,189.0,26.0,30.0
305_1,Celta Vigo,0_1,,356.0,295.0,61.0,54.0
305_2,,NF,NF,241.0,208.0,33.0,37.0
312_1,Almería,0_1,,258.0,235.0,23.0,37.0
312_2,Almería,0_2,,217.0,193.0,24.0,36.0
312_3,Barcelona,1_2,,66.0,63.0,3.0,10.0
312_4,,NF,NF,53.0,46.0,7.0,11.0
326_1,Barcelona,1_0,,199.0,183.0,16.0,20.0
326_2,Sevilla,1_1,,198.0,179.0,19.0,25.0
326_3,Barcelona,2_1,,6.0,6.0,0.0,2.0
326_4,Sevilla,2_2,,109.0,93.0,16.0,16.0
326_5,Barcelona,3_2,,80.0,76.0,4.0,7.0
326_6,Barcelona,4_2,,45.0,42.0,3.0,5.0
326_7,,NF,NF,114.0,108.0,6.0,14.0
32_1,Villarreal,0_1,,228.0,211.0,17.0,30.0
32_2,Barcelona,1_1,,119.0,105.0,14.0,15.0
32_3,Villarreal,1_2,,68.0,60.0,8.0,6.0
32_4,Barcelona,2_2,,20.0,20.0,0.0,1.0
32_5,Barcelona,3_2,,13.0,10.0,3.0,2.0
32_6,,NF,NF,278.0,245.0,33.0,37.0
334_1,Barcelona,1_0,,733.0,660.0,73.0,94.0
334_2,,NF,NF,,,,
341_1,Barcelona,1_0,,129.0,119.0,10.0,13.0
341_2,Barcelona,2_0,,332.0,308.0,24.0,32.0
341_3,Barcelona,3_0,,40.0,39.0,1.0,5.0
341_4,Barcelona,4_0,,19.0,18.0,1.0,2.0
341_5,Barcelona,5_0,,222.0,208.0,14.0,23.0
341_6,Barcelona,6_0,,28.0,26.0,2.0,4.0
341_7,,NF,NF,126.0,118.0,8.0,11.0
347_1,,,NF,789.0,713.0,76.0,94.0
354_1,Barcelona,1_0,,24.0,23.0,1.0,2.0
354_2,Barcelona,2_0,,497.0,446.0,51.0,51.0
354_3,Barcelona,3_0,,207.0,189.0,18.0,27.0
354_4,Barcelona,4_0,,20.0,16.0,4.0,2.0
354_5,Barcelona,5_0,,70.0,64.0,6.0,8.0
354_6,,NF,NF,,,,
39_1,Athletic Club,0_1,,119.0,107.0,12.0,14.0
39_2,Barcelona,1_1,,64.0,53.0,11.0,11.0
39_3,Athletic Club,1_2,,284.0,262.0,22.0,31.0
39_4,Barcelona,2_2,,14.0,13.0,1.0,3.0
39_5,Barcelona,3_2,,16.0,14.0,2.0,2.0
39_6,Athletic Club,3_3,,7.0,7.0,0.0,2.0
39_7,Barcelona,4_3,,249.0,231.0,18.0,20.0
39_8,,NF,NF,53.0,50.0,3.0,6.0
46_1,Barcelona,1_0,,154.0,144.0,10.0,17.0
46_2,Barcelona,2_0,,129.0,114.0,15.0,21.0
46_3,Barcelona,3_0,,256.0,238.0,18.0,21.0
46_4,Barcelona,4_0,,50.0,48.0,2.0,5.0
46_5,Barcelona,5_0,,56.0,53.0,3.0,6.0
46_6,,NF,NF,137.0,124.0,13.0,19.0
4_1,Real Sociedad,0_1,,,,,
4_2,,NF,NF,722.0,628.0,94.0,92.0
52_1,Málaga,0_1,,77.0,73.0,4.0,7.0
52_2,,NF,NF,601.0,528.0,73.0,86.0
59_1,Barcelona,1_0,,159.0,142.0,17.0,25.0
59_2,Barcelona,2_0,,121.0,101.0,20.0,22.0
59_3,Granada,2_1,,10.0,8.0,2.0,3.0
59_4,Barcelona,3_1,,62.0,55.0,7.0,17.0
59_5,,NF,NF,134.0,117.0,17.0,22.0
67_1,Barcelona,1_0,,29.0,24.0,5.0,5.0
67_2,Rayo Vallecano,1_1,,276.0,228.0,48.0,43.0
67_3,Barcelona,2_1,,19.0,18.0,1.0,3.0
67_4,Barcelona,3_1,,47.0,42.0,5.0,6.0
67_5,Barcelona,4_1,,29.0,27.0,2.0,4.0
67_6,Rayo Vallecano,4_2,,64.0,54.0,10.0,9.0
67_7,Barcelona,5_2,,57.0,53.0,4.0,11.0
67_8,,NF,NF,18.0,17.0,1.0,2.0
73_1,Barcelona,1_0,,282.0,258.0,24.0,30.0
73_2,Eibar,1_1,,165.0,143.0,22.0,22.0
73_3,,NF,NF,296.0,270.0,26.0,38.0
81_1,Barcelona,1_0,,152.0,138.0,14.0,19.0
81_2,Real Madrid,1_1,,37.0,31.0,6.0,11.0
81_3,Barcelona,2_1,,114.0,99.0,15.0,25.0
81_4,,NF,NF,199.0,185.0,14.0,36.0
95_1,Barcelona,1_0,,465.0,406.0,59.0,73.0
95_2,,NF,NF,104.0,92.0,12.0,18.0
98_1,Barcelona,1_0,,250.0,224.0,26.0,33.0
98_2,Barcelona,2_0,,146.0,130.0,16.0,22.0
98_3,Barcelona,3_0,,186.0,179.0,7.0,20.0
98_4,Barcelona,4_0,,103.0,94.0,9.0,18.0
98_5,,NF,NF,,,,
